연도,월,버스정류장ARS번호,역명,00~06_승하차_승객수,06~11_승하차_승객수,11~14_승하차_승객수,14~17_승하차_승객수,17~21_승하차_승객수,21~24_승하차_승객수,X좌표,Y좌표
2020,08,23370,삼호물산삼호물산삼호물산삼호물산삼호물산삼호물산삼호물산,912,20332,10705,13494,31827,7631,889.315385,262.3398302
2020,08,23371,구룡초등학교,24,935,617,725,819,281,127.0531236,37.48069354
2020,08,23372,광수빌딩,56,2360,1249,1539,2638,904,127.0493336,37.47905468
2020,08,23373,국민은행그린공원국민은행그린공원,119,6063,3030,3373,5908,1493,254.0936806,74.95743576
2020,08,23374,포이사거리삼호물산포이사거리삼호물산,10,3794,1699,2429,9389,889,254.0903088,74.95679548
2020,08,23375,포이사거리삼호물산포이사거리삼호물산,4,12945,3000,3531,6697,2717,254.0903536,74.95667794
2020,08,23376,국민은행그린공원국민은행그린공원,2,6559,3020,3751,5883,2589,254.0943966,74.9574288
2020,08,23377,광수빌딩광수빌딩광수빌딩,19,4583,2177,2615,3670,1570,381.14838929999996,112.43701881
2020,08,23378,개포4동주민센터개포지구대개포4동주민센터개포지구대개포4동주민센터개포지구대,17,2392,1074,1306,1623,523,381.1534476,112.43844255
2020,08,23379,구룡초등학교구룡초등학교구룡초등학교,26,1065,579,955,1110,380,381.1587921,112.44155373000001
2020,08,23380,수서삼성아파트앞수서삼성아파트앞수서삼성아파트앞수서삼성아파트앞수서삼성아파트앞수서삼성아파트앞수서삼성아파트앞수서삼성아파트앞수서삼성아파트앞수서삼성아파트앞,646,8369,3472,3588,4651,1460,1270.9099190000002,374.8438155
2020,08,23381,일원본동주민센터일원본동주민센터일원본동주민센터일원본동주민센터일원본동주민센터일원본동주민센터일원본동주민센터일원본동주민센터일원본동주민센터일원본동주민센터,1470,13492,7018,7599,9889,3519,1270.847589,374.8344961
2020,08,23382,푸른마을아파트앞푸른마을아파트앞푸른마을아파트앞푸른마을아파트앞푸른마을아파트앞푸른마을아파트앞푸른마을아파트앞푸른마을아파트앞푸른마을아파트앞,758,10176,6612,6760,8663,2737,1143.718767,337.344696
2020,08,23383,상록수아파트앞상록수아파트앞상록수아파트앞상록수아파트앞상록수아파트앞상록수아파트앞상록수아파트앞상록수아파트앞,378,1903,1516,1869,2919,1845,1016.6567496,299.86341072
2020,08,23384,일원본동주민센터일원본동주민센터일원본동주민센터일원본동주민센터일원본동주민센터일원본동주민센터일원본동주민센터일원본동주민센터일원본동주민센터일원본동주민센터,783,4478,3412,4283,7472,3243,1270.85952,374.83484
2020,08,23385,수서119안전센터앞수서119안전센터앞수서119안전센터앞수서119안전센터앞수서119안전센터앞수서119안전센터앞수서119안전센터앞수서119안전센터앞수서119안전센터앞수서119안전센터앞,505,4520,3524,4012,6274,2509,1270.9376419999999,374.84276880000004
2020,08,23386,삼성서울병원정문삼성서울병원정문,335,3184,1510,1680,1288,779,254.1658154,74.97304736
2020,08,23387,삼성서울병원정문건너편삼성서울병원정문건너편,169,2168,1078,2133,2393,975,254.1650112,74.97408254
2020,08,23388,일원역일원역,90,1027,809,888,956,329,254.166616,74.97024466
2020,08,23389,삼성서울병원후문,160,2050,972,1863,2346,846,127.0874404,37.4903641
2020,08,23392,삼성서울병원사거리삼성서울병원사거리삼성서울병원사거리,224,3592,1980,2399,3409,959,381.2480046,112.46731317000001
2020,08,23393,강남한양수자인아파트강남한양수자인아파트강남한양수자인아파트,271,4074,1651,1655,2572,775,381.3414735,112.4346525
