자치구,행정동_x,행정동_코드,월평균_총생활인구수,연령대0_평균,연령대10_평균,연령대20_평균,연령대30_평균,연령대40_평균,연령대50_평균,연령대60_평균,연령대70이상_평균,1인가구,2인가구,3인가구,4인가구,5인가구,6인가구,7인 이상 가구,연령대_100,연령대_0_거주인구수,연령대_10_거주인구수,연령대_20_거주인구수,연령대_30_거주인구수,연령대_40_거주인구수,연령대_50_거주인구수,연령대_60_거주인구수,연령대_70_거주인구수,연령대_80_거주인구수,연령대_90_거주인구수,행정동,유흥주점영업,단란주점,제과점영업,집단급식소,일반음식점,휴게음식점,연령대_2030_거주인구수_합,연령대_2030_거주인구수_평균,연령대_20_거주인구수_비율,연령대_30_거주인구수_비율,연령대_2030_거주인구수_비율,1인가구_비율,식품접객업,주점,주요경제활동인구_거주인구수,주요경제활동인구_거주인구수_평균,주요경제활동인구_생활인구수,주요경제활동인구_생활인구수_평균,PET예측량
중랑구,신내1동,11260680,25243658.950116664,2782690.398225,2412282.151066667,2755551.002933333,3392717.2099416666,3871300.674266666,4008096.012233333,3078121.3802416665,2942900.099225,2426,3753,3226,3128,896,172,45,10.0,2848.083333333333,3446.25,4402.833333333333,4415.166666666667,5394.583333333333,5891.833333333333,5250.666666666667,2590.083333333333,1175.0,199.8333333333333,신내1동,0.0,0.0,101.0,312.0,2657.0,683.0,8818.0,8818.0,0.12359061690043321,0.12393682220953843,0.24752743910997163,0.17778103473545362,3753.0,0.0,20104.416666666664,5026.104166666666,14027664.899375,3506916.22484375,85.53669337265625
중랑구,신내2동,11260690,13392264.44805,1001619.9839583334,1319170.4084166668,1493665.4775416667,1891738.222975,1934060.508925,2173567.792191667,1729056.2775333335,1849385.7717666663,2273,2548,1946,1376,256,48,7,4.333333333333333,1168.25,1534.8333333333333,2278.833333333333,2620.1666666666665,2848.6666666666665,3198.5,3071.583333333333,1489.8333333333333,729.25,96.66666666666669,신내2동,0.0,0.0,92.0,156.0,1277.0,339.0,4899.0,4899.0,0.11968086270356382,0.13760717052312785,0.2572880332266917,0.26886680861130824,1864.0,0.0,10946.166666666666,2736.5416666666665,7493032.001633333,1873258.0004083333,58.954845006125
성북구,성북동,11290525,15641284.313408332,988765.967875,1514621.9798833334,2193908.398325,2304869.560625,2409347.977275,2432534.880425,1776130.9972750002,2021104.5568416668,2945,1982,1247,795,237,57,22,13.5,688.25,1062.3333333333333,2533.083333333333,2274.75,2314.583333333333,2519.583333333333,1916.3333333333333,1197.8333333333333,651.0,123.16666666666669,성북동,0.0,0.0,48.0,132.0,2077.0,1002.0,4807.833333333333,4807.833333333333,0.1656214413756654,0.1487307459693897,0.3143521873450551,0.40425531914893614,3259.0,0.0,9642.0,2410.5,9340660.81665,2335165.2041625,75.0058530624375
성북구,삼선동,11290555,18601995.214016665,1034954.3773333334,1858826.0685583327,3701318.3472083337,2893556.902066666,2877774.140441667,2610518.8583583334,1719810.7172666667,1905235.7952416667,4790,2551,1673,1345,319,78,21,15.5,972.6666666666666,1679.0,3851.8333333333335,2975.083333333333,3217.333333333333,3377.75,2550.9166666666665,1640.0,777.25,95.33333333333331,삼선동,12.0,129.0,96.0,215.0,4839.0,1169.0,6826.916666666666,6826.916666666666,0.18209681994389992,0.14064814522991584,0.32274496517381573,0.44446506448918993,6460.0,141.0,13422.0,3355.5,12083168.248075,3020792.06201875,110.33613093028124
성북구,동선동,11290575,18755746.54445,1084266.2341666666,2086160.489258333,4605343.281599999,2785076.282266666,2665574.6385583333,2249083.5650833333,1517152.8998583332,1763089.1460999998,5186,1684,965,607,149,36,6,10.583333333333334,505.25,862.0,4115.083333333333,2295.333333333333,1810.4166666666667,1781.5833333333333,1384.4166666666667,953.1666666666666,433.4166666666667,64.91666666666667,동선동,36.0,141.0,180.0,214.0,6388.0,1621.0,6410.416666666666,6410.416666666666,0.28946504566397413,0.1614593713729674,0.4509244170369415,0.6007181744468898,8580.0,177.0,10002.416666666666,2500.6041666666665,12305077.767508332,3076269.441877083,116.54399162815625
성북구,돈암1동,11290580,10010393.2972,683482.921375,1141243.9371166667,1164991.8651333333,1280470.9229,1503325.9388916667,1528348.968833333,1278766.15405,1429762.5815,1385,1788,1348,1006,219,51,11,5.5,726.0833333333334,1157.1666666666667,1826.3333333333333,1786.5,1921.5833333333333,2452.4166666666665,2018.5833333333333,1155.1666666666667,527.0833333333334,64.0,돈암1동,0.0,0.0,12.0,132.0,627.0,210.0,3612.833333333333,3612.833333333333,0.1338913156367413,0.13097107248678866,0.2648623881235299,0.23846418732782368,981.0,0.0,7986.833333333332,1996.708333333333,5477137.6957583325,1369284.4239395831,39.34064135909375
성북구,돈암2동,11290590,11154930.49545,1208373.0737416667,1382443.5126833334,1160861.24705,1456601.7679833332,1864121.148508333,1669172.3526916665,1155712.9947166666,1257644.3953666666,1188,2100,2316,1980,427,78,22,3.9166666666666665,1775.75,2557.9166666666665,2670.833333333333,2704.6666666666665,3995.75,3768.6666666666665,2543.0,1338.5,667.9166666666666,120.91666666666669,돈암2동,0.0,0.0,12.0,84.0,307.0,89.0,5375.5,5375.5,0.12059117897160743,0.12211879265842406,0.2427099716300315,0.14646775983232646,492.0,0.0,13139.916666666666,3284.9791666666665,6150756.516233332,1537689.129058333,39.192436935874994
성북구,안암동,11290600,18069533.167625,503560.161775,1914906.8644,6357378.106933333,2460347.999058333,1878908.3614166668,1959624.077383333,1395637.4129416666,1599170.16905,5964,1688,870,584,126,26,6,6.083333333333333,396.0833333333333,752.5833333333334,4715.083333333333,1858.5,1473.8333333333333,1814.5,1363.9166666666667,869.9166666666666,411.1666666666667,51.41666666666666,안암동,0.0,32.0,109.0,237.0,4401.0,1685.0,6573.583333333333,6573.583333333333,0.3438383052680834,0.1355275071859599,0.4793658124540433,0.6437823834196891,6464.0,32.0,9861.916666666666,2465.4791666666665,12656258.544791665,3164064.636197916,128.42226954296876
성북구,보문동,11290610,11556973.427475,764023.5176499999,834293.6981500001,2023162.3888416665,1785521.920025,1649223.79715,1813549.046675,1315752.584108333,1371446.47085,3011,1713,1321,877,196,21,8,5.583333333333333,880.0833333333334,848.0833333333334,2406.1666666666665,2361.4166666666665,2156.1666666666665,2305.083333333333,1778.9166666666667,978.5833333333334,424.3333333333333,54.333333333333336,보문동,24.0,117.0,60.0,170.0,1803.0,464.0,4767.583333333333,4767.583333333333,0.1694632743492678,0.16631158846142557,0.33577486281069335,0.42129564852385615,2638.0,141.0,9228.833333333332,2307.208333333333,7271457.152691667,1817864.2881729167,68.14228932259375
성북구,정릉1동,11290620,10570540.332408331,985478.5176166669,1195831.560133333,1207869.547325,1425380.0577666666,1823087.2039166668,1534825.7632916663,1094474.8326,1303592.8423666668,1819,1800,1706,1354,294,63,15,4.25,1277.4166666666667,1596.5,2079.75,2368.25,2883.9166666666665,2610.9166666666665,2085.25,1257.4166666666667,583.9166666666666,73.75,정릉1동,0.0,24.0,96.0,180.0,2810.0,808.0,4448.0,4448.0,0.12363764267596704,0.14078848287888396,0.264426125554851,0.257977591830946,3918.0,24.0,9942.833333333332,2485.708333333333,5991162.5723,1497790.643075,47.159784646125004
